tag,name,star,people,author,money,country,year
诗歌,彩画集,8.6,1001,兰波,28.0,法,2012
诗歌,顾城诗全集,9.1,1015,顾城,148.0,中,2010
诗歌,保罗·策兰诗选,8.6,1107,保罗·策兰(PaulCelan),68.0,德,2010
诗歌,随风而行,8.6,1484,阿巴斯·基阿鲁斯达米,26.0,伊朗,2007
诗歌,阿赫玛托娃诗全集 (第一卷),8.4,72,阿赫玛托娃,66.0,俄,2017
诗歌,避孕药和春山矿难,9.0,76,理查德·布劳提根,100.0,美,2013
诗歌,开·闭·开,9.0,490,耶胡达·阿米亥,20.0,以色列,2007
诗歌,席慕容诗集,8.7,5229,席慕蓉,20.0,中,2010
诗歌,在春天走进果园,8.7,574,鲁米,32.0,中,2013
诗歌,人之链,8.7,184,谢默斯·希尼,38.0,爱尔兰,2016
诗歌,唐璜（上下册）,8.7,887,拜伦,44.0,中,2007
诗歌,杨牧诗选 1956-2013,8.3,440,杨牧,46.0,中,2015
诗歌,我喜爱一切不彻底的事物,8.0,512,张定浩,39.8,中,2015
诗歌,刹那,8.8,730,周梦蝶,19.8,中,2010
小说,爱情和其他魔鬼,8.7,4009,加西亚·马尔克斯,35.0,哥伦比亚,2016
小说,小说课,8.6,3141,毕飞宇,38.0,中,2017
小说,鳄鱼街,8.5,1326,布鲁诺·舒尔茨,28.0,波,2010
小说,三国演义（全二册）,9.2,58604,罗贯中,39.5,中,1998
小说,雪人,8.1,11091,尤·奈斯博,39.0,挪威,2016
小说,海边的卡夫卡,8.1,65002,村上春树,25.0,日,2003
小说,献给阿尔吉侬的花束,9.0,5927,丹尼尔·凯斯,36.0,美,2015
小说,最初的爱情 最后的仪式,8.0,27024,伊恩·麦克尤恩,22.0,英,2010
小说,摩尔人的最后叹息,7.8,421,萨曼·鲁西迪,56.0,英,2017
小说,一九八四·动物农场,9.3,25613,乔治·奥威尔,23.0,英,2003
小说,情书,8.6,51023,岩井俊二,18.0,日,2004
小说,美国众神,8.0,7833,尼尔·盖曼,36.0,英,2006
小说,火花,7.8,1970,又吉直树,38.0,日,2017
小说,道连·葛雷的画像,8.9,7871,奥斯卡·王尔德,12.0,英,2006
小说,荆棘鸟,8.6,33008,考琳·麦卡洛,28.0,澳,1998
小说,德米安,9.0,7737,赫尔曼·黑塞,25.0,德,2009
小说,冰与火之歌（卷一）,9.3,24164,乔治·R.R.马丁,68.0,美,2005
文学,佛罗伦萨的神女,8.4,981,萨曼·鲁西迪,45.0,英,2017
文学,人间词话,9.0,16762,王国维,9.8,中,1998
文学,加缪手记,9.1,1044,阿尔贝·加缪,35.0,法,2016
文学,皮囊,7.6,48286,蔡崇达,39.8,中,2014
